channel,name,mean,q000,q001,q005,q010,q025,q050,q075,q090,q095,q099,q100
channel_0,DAPI,18.7339189317975,2.37671237628453,5.53773654575279,7.59498403168918,8.91921215420649,11.6091665817213,16.0062009524601,23.4568569764751,32.5806436057574,38.7722308939948,50.7773473687453,87.4418335462397
channel_1,Opal 570,8.4289938307004,1.28593424986707,1.61143328589892,2.00750476490687,2.39776471834558,3.41516631119669,5.77748697453017,10.8754469097286,17.9896718421881,24.9160112230234,34.8645372256525,45.1936336845093
channel_2,Opal 690,21.6301200281177,1.51103458399197,2.03583019790018,2.97040406438863,4.19150747965644,8.31039067979009,17.6040533826396,31.8159687487097,45.5675580215667,52.9148658722728,65.016349723246,80.3983282193601
channel_3,Opal 480,21.2316794879594,1.71713721888506,2.19572888051242,2.76987957618105,3.28026944042447,5.40651886636511,11.8441390000821,28.006404156293,53.4604301786242,72.2980274502113,110.223327084314,151.193651783423
channel_4,Opal 620,10.1635646947691,1.34564131754605,1.78081720675163,2.43922057687125,3.00900403147094,4.60572484712777,7.68674250184365,12.854870164152,20.2508598158421,26.1029080862884,42.8326691946106,71.1830571307825
channel_5,Opal 780,4.61593840056186,1.24970144465403,1.59983501633921,1.99679211507014,2.31407026075333,3.00932093015918,4.08401643184249,5.66979340869166,7.57610752788938,9.01842493744068,11.8845712892875,18.143869028303
channel_6,Opal 520,23.5350140115468,1.52447396577037,2.0065242004143,3.08328333598701,4.16383523317364,7.55971691818641,15.5620817765211,32.129722367228,55.0839351667915,71.9777530881025,102.607403488923,139.455516417598
channel_7,Sample AF,19.0759263495693,1.72311174297458,4.27274500325663,6.02400597863577,7.35173564417113,10.6462619238152,16.4832382696398,24.4505440404805,33.8748905689398,40.4879549289168,56.1587059506886,343.695962884635
