name,Offset,DAPI,OPAL 570,OPAL 690,OPAL 480,OPAL 620,OPAL 780,OPAL 520,AUTOFLUO
DAPI,0.674471139706179,0.975400298167193,0.0243413496212841,0.0766192678424323,0.0283393676228804,0.0208782429144959,1.05483093230791e-11,0.00882206161863657,0.362043943287824
Opal 570,0.00370932226732372,1.07612884641903e-13,0.915246755206557,0.0130153947752757,9.49985933453889e-14,0.0300927474875142,0.00361817362113619,0.0141608362432629,0.00061320740449925
Opal 690,0.000831974270730399,7.81800758043037e-14,1.0849574878843e-13,0.799164480601579,6.69317370808051e-14,0.0138512289201699,3.78703116671946e-14,3.64759859063135e-14,0.000902024817653699
Opal 480,0.974574499996482,0.0244043544791993,0.0224037374961554,0.0316985766768704,0.931962947933819,0.145204450606221,0.174933763216904,0.0334217111346162,0.590127439175056
Opal 620,0.00110216241491566,6.47840741103717e-14,0.0332249718147663,0.0125664643979876,9.2510272560079e-05,0.759333138878455,0.0210103868642921,9.80468964832257e-14,2.00486265324392e-05
Opal 780,0.000259193781673541,2.65450826465662e-13,4.02196585849706e-13,0.0288124126723887,0.000280533038713823,4.07279767887001e-09,0.794706309879243,1.91811349964243e-13,0.000693684017397039
Opal 520,0.00647056952503043,2.87476117221291e-14,3.58204867884636e-14,0.0155751988079212,0.0356004566870339,7.59253510548333e-14,1.67380046728123e-13,0.93871942844457,0.0281814076662249
Sample AF,0.267281656707322,0.000223281271962119,0.00492724087732081,0.0218099315562103,0.00350923906883681,0.0302501126422956,0.00580993318993356,0.00497599743797159,0.0172507725591042
