id,x,y,label
1,44726,32249,Tumor tissue
1,44681,32136,Tumor tissue
1,44658,32045,Tumor tissue
1,44624,31943,Tumor tissue
1,44590,31841,Tumor tissue
1,44567,31750,Tumor tissue
1,44533,31636,Tumor tissue
1,44488,31500,Tumor tissue
1,44454,31375,Tumor tissue
1,44420,31251,Tumor tissue
1,44386,31103,Tumor tissue
1,44363,30933,Tumor tissue
1,44317,30717,Tumor tissue
1,44272,30513,Tumor tissue
1,44249,30366,Tumor tissue
1,44227,30207,Tumor tissue
1,44215,30036,Tumor tissue
1,44204,29878,Tumor tissue
1,44193,29741,Tumor tissue
1,44193,29605,Tumor tissue
1,44193,29469,Tumor tissue
1,44193,29344,Tumor tissue
1,44193,29197,Tumor tissue
1,44181,29004,Tumor tissue
1,44170,28811,Tumor tissue
1,44170,28652,Tumor tissue
1,44170,28471,Tumor tissue
1,44170,28266,Tumor tissue
1,44170,28074,Tumor tissue
1,44170,27881,Tumor tissue
1,44170,27688,Tumor tissue
1,44181,27518,Tumor tissue
1,44193,27381,Tumor tissue
1,44193,27245,Tumor tissue
1,44204,27098,Tumor tissue
1,44215,26905,Tumor tissue
1,44227,26712,Tumor tissue
1,44261,26564,Tumor tissue
1,44283,26428,Tumor tissue
1,44283,26326,Tumor tissue
1,44283,26247,Tumor tissue
1,44283,26179,Tumor tissue
1,44283,26122,Tumor tissue
1,44283,26088,Tumor tissue
1,44283,26065,Tumor tissue
1,44283,26043,Tumor tissue
1,44261,25872,Tumor tissue
1,44227,25589,Tumor tissue
1,44215,25362,Tumor tissue
1,44193,25135,Tumor tissue
1,44159,24874,Tumor tissue
1,44136,24624,Tumor tissue
1,44113,24397,Tumor tissue
1,44102,24238,Tumor tissue
1,44102,24159,Tumor tissue
1,44102,24102,Tumor tissue
1,44102,24057,Tumor tissue
1,44102,24000,Tumor tissue
1,44102,23943,Tumor tissue
1,44102,23898,Tumor tissue
1,44102,23853,Tumor tissue
1,44102,23785,Tumor tissue
1,44102,23682,Tumor tissue
1,44102,23569,Tumor tissue
1,44102,23444,Tumor tissue
1,44102,23308,Tumor tissue
1,44102,23172,Tumor tissue
1,44102,23013,Tumor tissue
1,44102,22854,Tumor tissue
1,44102,22707,Tumor tissue
1,44079,22548,Tumor tissue
1,44056,22400,Tumor tissue
1,44056,22287,Tumor tissue
1,44056,22196,Tumor tissue
1,44045,22117,Tumor tissue
1,44034,22060,Tumor tissue
1,44022,21980,Tumor tissue
1,44000,21878,Tumor tissue
1,43988,21788,Tumor tissue
1,43988,21708,Tumor tissue
1,43977,21629,Tumor tissue
1,43966,21561,Tumor tissue
1,43954,21493,Tumor tissue
